Site,Acorn_Barnacle_Abundance,Mussel_Abundance,Date
Almar Avenue,17,17.92,04-16-1975
Almar Avenue,10.62,16.55,10-10-1976
Almar Avenue,17.45,20.05,11-01-1978
Almar Avenue,17.86,20.33,04-30-1983
Almar Avenue,20,18.19,05-12-1986
Almar Avenue,19,21,05-10-1990
Almar Avenue,22.7,22.3,05-20-1996
Almar Avenue,22.79,22.43,05-20-1996
Almar Avenue,5,13,12-18-2005
Almar Avenue,15.5,20,03-29-2006
Almar Avenue,18.2,19.3,05-27-2009
Almar Avenue,16.5,15.83,11-01-2009
Almar Avenue,16,13.5,11-02-2009
Almar Avenue,22.67,20.67,11-03-2009
Almar Avenue,15,17.4,03-16-2011
Almar Avenue,14,18.88,10-25-2011
Almar Avenue,13.6,17.6,02-06-2012
Almar Avenue,7.81,11.56,04-30-2013
Almar Avenue,17.07,14.5,08-08-2013
Almar Avenue,24.4,20.4,11-16-2013
Almar Avenue,11,5.29,03-25-2014
Almar Avenue,16.31,13.63,04-03-2014
Almar Avenue,22.42,21,02-28-2015
Almar Avenue,18.73,16.55,03-27-2015
Almar Avenue,11.17,15.63,04-23-2015
Almar Avenue,20.89,21.44,05-02-2016
Almar Avenue,12.5,20.33,05-12-2016
Almar Avenue,18.15,17.3,04-04-2017
Almar Avenue,14.6,16,04-24-2018
Almar Avenue,13.33,17.6,05-21-2018
Asilomar State Park,3,5,2013-02-05
Asilomar State Park,1,6.56,2013-05-02
Asilomar State Park,4,8,2013-11-04
Asilomar State Park,11.62,7.5,2013-11-14
Asilomar State Park,4.78,4.89,2013-11-15
Asilomar State Park,13.33,6,2014-01-08
Asilomar State Park,1.86,7.14,2014-01-25
Asilomar State Park,8.57,8.43,2014-01-30
Asilomar State Park,9.25,5.25,2014-02-07
Asilomar State Park,8.71,2.86,2014-03-27
Asilomar State Park,19.75,8.75,2014-06-11
Asilomar State Park,12.78,7.44,2014-07-15
Asilomar State Park,14.75,8.38,2014-11-05
Asilomar State Park,15.86,6.43,2014-11-06
Asilomar State Park,14.33,7.11,2014-11-07
Asilomar State Park,16,13,2015-02-16
Asilomar State Park,11.2,8.8,2015-03-16
Asilomar State Park,10.5,15,2015-03-26
Asilomar State Park,17.29,10.14,2015-04-15
Asilomar State Park,0.73,1.47,2015-04-22
Asilomar State Park,9.88,9.44,2015-05-09
Asilomar State Park,7.06,6.06,2015-05-11
Asilomar State Park,12.5,9.25,2015-06-18
Asilomar State Park,NA,9.12,2015-07-21
Asilomar State Park,NA,1.33,2016-01-21
Asilomar State Park,NA,8.5,2016-02-05
Asilomar State Park,NA,1.33,2016-02-19
Asilomar State Park,NA,9.93,2016-03-16
Asilomar State Park,NA,6,2016-03-17
Asilomar State Park,NA,6.19,2016-05-10
Asilomar State Park,NA,6.11,2016-07-05
Asilomar State Park,NA,5.4,2016-12-13
Asilomar State Park,NA,9.64,2017-02-22
Asilomar State Park,NA,10.5,2017-02-24
Asilomar State Park,NA,5.58,2017-03-10
Asilomar State Park,NA,6.56,2017-03-11
Asilomar State Park,NA,12.5,2017-04-03
Asilomar State Park,NA,8.5,2017-04-05
Asilomar State Park,NA,9.83,2017-05-13
Asilomar State Park,NA,9.71,2017-05-16
Asilomar State Park,NA,10,2017-06-27
Asilomar State Park,NA,8.75,2017-07-12
Asilomar State Park,NA,8.9,2017-11-03
Asilomar State Park,NA,9,2017-12-02
Asilomar State Park,NA,8.93,2017-12-15
Asilomar State Park,NA,7.8,2018-01-12
Asilomar State Park,NA,9,2018-02-01
Asilomar State Park,NA,11.5,2018-02-15
Asilomar State Park,NA,10.83,2018-02-16
Asilomar State Park,NA,7.62,2018-02-26
Asilomar State Park,NA,12.8,2018-04-19
Asilomar State Park,NA,7.67,2018-04-23
Asilomar State Park,NA,8.11,2018-05-19
Asilomar State Park,NA,5.33,2018-11-05
Asilomar State Park,NA,12.67,2019-01-30
Asilomar State Park,NA,9.89,2019-02-18
Asilomar State Park,NA,12,2019-02-19
Asilomar State Park,NA,10.38,2019-05-18
Asilomar State Park,NA,10.5,2019-05-21
Asilomar State Park,NA,12.62,2019-10-28
Asilomar State Park,NA,11.9,2020-01-11
Asilomar State Park,NA,9.4,2020-01-20
Asilomar State Park,NA,12.33,2021-11-16
Asilomar State Park,NA,4.25,2022-02-12
Asilomar State Park,NA,12,2022-03-22
Asilomar State Park,NA,12.67,2022-03-23
Asilomar State Park,NA,12.67,2022-05-04
Asilomar State Park,NA,11.17,2022-05-11
Asilomar State Park,NA,13.42,2023-02-16
Asilomar State Park,NA,10.71,2024-11-13
Asilomar State Park,NA,13.33,2024-11-15
Carmel Point,5.88,10.07,2011-05-19
Carmel Point,0,6,2012-01-18
Carmel Point,3.44,7.67,2012-05-10
Carmel Point,4.78,7,2012-05-11
Carmel Point,7.91,6.64,2012-06-07
Carmel Point,6.75,7.25,2013-12-02
Carmel Point,4,3.21,2014-02-11
Carmel Point,8.44,6.11,2014-02-12
Carmel Point,9.75,6.75,2014-02-13
Carmel Point,7.2,2,2014-03-08
Carmel Point,6.2,3,2014-03-23
Carmel Point,3.2,6.8,2014-04-04
Carmel Point,10,8,2014-05-03
Carmel Point,10.38,5.62,2014-07-14
Carmel Point,9.67,9.67,2014-10-08
Carmel Point,9.2,8.4,2015-02-18
Carmel Point,NA,9.2,2016-04-12
Carmel Point,NA,7.43,2016-07-06
Carmel Point,NA,11.4,2017-06-28
Carmel Point,NA,11.8,2018-02-13
Coal Oil Point,5.18,2.27,2012-05-03
Coal Oil Point,0,0,2012-10-27
Coal Oil Point,2.5,1.1,2012-12-12
Coal Oil Point,20,19,2016-02-07
Davenport Landing,12.1,4.35,05-08-1974
Davenport Landing,16.46,8.63,05-14-1975
Davenport Landing,8.9,4.93,11-05-1976
Davenport Landing,23,21,11-05-1976
Davenport Landing,10.11,3.22,10-31-1978
Davenport Landing,19,17,10-31-1978
Davenport Landing,7.23,2.95,05-16-1983
Davenport Landing,18.88,19.42,05-16-1983
Davenport Landing,5.03,7.13,05-10-1986
Davenport Landing,13.54,20.45,05-03-1991
Davenport Landing,10.27,3.5,05-12-1994
Davenport Landing,0,15.66,05-12-1994
Davenport Landing,14,4.21,05-21-1996
Davenport Landing,6,7.04,05-10-1997
Davenport Landing,9.25,7,01-20-2008
Davenport Landing,24,13.33,04-13-2008
Davenport Landing,0,9.8,04-27-2008
Davenport Landing,3.67,9,05-25-2008
Davenport Landing,2.6,15,01-01-2009
Davenport Landing,10.33,10.5,07-10-2009
Davenport Landing,0,15,08-24-2009
Davenport Landing,4.17,3,10-03-2009
Davenport Landing,4.4,4.25,11-14-2009
Davenport Landing,11,7.25,12-02-2009
Davenport Landing,10.4,8.1,12-03-2009
Davenport Landing,9.6,6.6,01-28-2010
Davenport Landing,15,0.5,02-08-2010
Davenport Landing,3.5,10.5,12-22-2011
Davenport Landing,7,2,01-07-2012
Davenport Landing,9.33,0.8,04-22-2012
Davenport Landing,4.5,4.33,05-22-2012
Davenport Landing,20,7.2,05-26-2012
Davenport Landing,16,5.33,07-22-2012
Davenport Landing,8.8,7,08-04-2012
Davenport Landing,9.25,14.33,08-26-2012
Davenport Landing,2,19.8,10-15-2012
Davenport Landing,2,9.8,10-16-2012
Davenport Landing,18,13.67,10-29-2012
Davenport Landing,21.64,9.17,10-30-2012
Davenport Landing,22.83,11.5,11-13-2012
Davenport Landing,4.5,0.67,11-26-2012
Davenport Landing,11.33,7.5,12-01-2012
Davenport Landing,8,22.75,12-14-2012
Davenport Landing,6.8,14.8,12-30-2012
Davenport Landing,8.33,12.4,12-31-2012
Davenport Landing,9.5,5.75,02-17-2013
Davenport Landing,2.33,0,04-07-2013
Davenport Landing,21.5,4.33,05-21-2013
Davenport Landing,24.5,8.33,07-27-2013
Davenport Landing,24.25,20.86,08-07-2013
Davenport Landing,6.33,19.33,08-07-2013
Davenport Landing,22.5,2.5,10-05-2013
Davenport Landing,17,1,11-04-2013
Davenport Landing,8.9,6.75,12-14-2013
Davenport Landing,0,9.2,12-31-2013
Davenport Landing,12,9,08-30-2015
Davenport Landing,23.5,20.5,10-26-2015
Davenport Landing,24,1.33,10-26-2015
Davenport Landing,8,25,11-11-2015
Davenport Landing,NA,24.75,01-09-2016
Davenport Landing,NA,17,02-07-2016
Davenport Landing,NA,6.67,02-07-2016
Davenport Landing,NA,25,04-03-2016
Davenport Landing,NA,24.14,04-29-2016
Davenport Landing,NA,9.4,04-29-2016
Davenport Landing,NA,0,05-10-2016
Davenport Landing,NA,16,05-14-2016
Davenport Landing,NA,25,06-03-2016
Davenport Landing,NA,24,08-20-2016
Davenport Landing,NA,24,08-20-2016
Davenport Landing,NA,24.5,09-18-2016
Davenport Landing,NA,24.5,09-18-2016
Davenport Landing,NA,24.5,10-18-2016
Davenport Landing,NA,24.5,11-12-2016
Davenport Landing,NA,23.5,11-26-2016
Davenport Landing,NA,16.5,12-11-2016
Davenport Landing,NA,25,01-13-2017
Davenport Landing,NA,22.5,01-29-2017
Davenport Landing,NA,21.5,02-12-2017
Davenport Landing,NA,24,02-27-2017
Davenport Landing,NA,23.5,03-03-2017
Davenport Landing,NA,24.5,03-20-2017
Davenport Landing,NA,19,04-10-2017
Davenport Landing,NA,11.5,04-29-2017
Davenport Landing,NA,24.5,05-13-2017
Davenport Landing,NA,24.5,05-29-2017
Davenport Landing,NA,25,06-26-2017
Davenport Landing,NA,17.5,07-13-2017
Davenport Landing,NA,24.5,08-10-2017
Davenport Landing,NA,25,09-08-2017
Davenport Landing,NA,25,09-22-2017
Davenport Landing,NA,20,10-06-2017
Davenport Landing,NA,25,10-17-2017
Davenport Landing,NA,25,11-05-2017
Davenport Landing,NA,23.5,11-19-2017
Davenport Landing,NA,24.5,12-03-2017
Davenport Landing,NA,24,12-18-2017
Davenport Landing,NA,21,01-15-2018
Davenport Landing,NA,25,01-31-2018
Davenport Landing,NA,23,03-12-2018
Davenport Landing,NA,25,03-27-2018
Davenport Landing,NA,8.46,05-04-2018
Davenport Landing,NA,22.57,05-10-2019
Davenport Landing,NA,22,05-10-2019
Fitzgerald Marine Reserve,8.4,1.6,11-01-2006
Fitzgerald Marine Reserve,16.5,1.88,11-02-2006
Fitzgerald Marine Reserve,1.86,1.43,01-30-2007
Fitzgerald Marine Reserve,11.27,3.64,03-23-2007
Fitzgerald Marine Reserve,12.25,3,03-28-2007
Fitzgerald Marine Reserve,0.38,0,05-09-2007
Fitzgerald Marine Reserve,9.1,2.6,06-06-2007
Fitzgerald Marine Reserve,16.1,1.95,06-07-2007
Fitzgerald Marine Reserve,16.13,3.27,07-03-2007
Fitzgerald Marine Reserve,4.73,1.45,01-18-2008
Fitzgerald Marine Reserve,11.86,2.79,02-04-2008
Fitzgerald Marine Reserve,18.82,2.64,02-13-2008
Fitzgerald Marine Reserve,7,1.5,02-14-2008
Fitzgerald Marine Reserve,6.58,1.67,04-24-2008
Fitzgerald Marine Reserve,2.33,0.92,05-08-2008
Fitzgerald Marine Reserve,4.81,2.31,05-28-2008
Fitzgerald Marine Reserve,6,1,06-05-2008
Fitzgerald Marine Reserve,4.42,0.58,01-21-2009
Fitzgerald Marine Reserve,5.57,0.71,02-04-2009
Fitzgerald Marine Reserve,1,0,02-06-2009
Fitzgerald Marine Reserve,4.82,0.45,02-18-2009
Fitzgerald Marine Reserve,7.08,0.85,03-04-2009
Fitzgerald Marine Reserve,0.2,0,03-05-2009
Fitzgerald Marine Reserve,1.38,1,03-18-2009
Fitzgerald Marine Reserve,0.57,2,04-28-2009
Fitzgerald Marine Reserve,0.74,0.17,04-29-2009
Fitzgerald Marine Reserve,0.09,0.09,05-01-2009
Fitzgerald Marine Reserve,0,0,11-14-2009
Fitzgerald Marine Reserve,6.75,0.75,01-13-2010
Fitzgerald Marine Reserve,6.5,0.13,02-08-2010
Fitzgerald Marine Reserve,6.17,0.17,03-22-2010
Fitzgerald Marine Reserve,3,1.5,03-23-2010
Fitzgerald Marine Reserve,5.85,0.62,04-20-2010
Fitzgerald Marine Reserve,1.85,0.54,04-21-2010
Fitzgerald Marine Reserve,0.33,0,05-18-2010
Fitzgerald Marine Reserve,2,0.93,05-19-2010
Fitzgerald Marine Reserve,0,1.5,05-19-2010
Fitzgerald Marine Reserve,2.25,0.33,06-02-2010
Fitzgerald Marine Reserve,7.59,0.47,08-12-2010
Fitzgerald Marine Reserve,5.63,0.88,11-03-2010
Fitzgerald Marine Reserve,3.42,1.67,11-06-2010
Fitzgerald Marine Reserve,1.63,0,12-06-2010
Fitzgerald Marine Reserve,13.83,0.42,01-19-2011
Fitzgerald Marine Reserve,0.78,0.11,01-20-2011
Fitzgerald Marine Reserve,6.16,0.53,04-07-2011
Fitzgerald Marine Reserve,4.7,0.61,04-12-2011
Fitzgerald Marine Reserve,4.76,2.56,04-21-2011
Fitzgerald Marine Reserve,10.1,1.15,05-07-2011
Fitzgerald Marine Reserve,3.38,2,06-07-2011
Fitzgerald Marine Reserve,4.67,0.89,08-31-2011
Fitzgerald Marine Reserve,7.05,0.79,11-06-2011
Fitzgerald Marine Reserve,0.88,2.25,03-14-2012
Fitzgerald Marine Reserve,6.5,0.88,04-11-2012
Fitzgerald Marine Reserve,1.83,0.58,05-10-2012
Fitzgerald Marine Reserve,0.56,0.11,05-23-2012
Fitzgerald Marine Reserve,2.05,3.55,05-23-2012
Fitzgerald Marine Reserve,0,0.89,11-13-2012
Fitzgerald Marine Reserve,6.86,0.14,12-09-2012
Fitzgerald Marine Reserve,10.42,1.33,02-07-2013
Fitzgerald Marine Reserve,8,2.5,02-09-2013
Fitzgerald Marine Reserve,1.58,0.17,04-30-2013
Fitzgerald Marine Reserve,4.5,0.58,05-01-2013
Fitzgerald Marine Reserve,0,0,05-02-2013
Fitzgerald Marine Reserve,1.33,3.17,12-02-2013
Fitzgerald Marine Reserve,8.2,0.5,12-02-2013
Fitzgerald Marine Reserve,5.5,0.5,03-01-2014
Fitzgerald Marine Reserve,1.9,0.3,03-26-2014
Fitzgerald Marine Reserve,0,0.38,03-27-2014
Fitzgerald Marine Reserve,5.83,0.33,04-22-2014
Fitzgerald Marine Reserve,9.5,1,04-23-2014
Fitzgerald Marine Reserve,4,0.5,05-20-2014
Fitzgerald Marine Reserve,9,0.5,11-05-2014
Fitzgerald Marine Reserve,14.46,0.62,01-30-2015
Fitzgerald Marine Reserve,12,1.25,01-31-2015
Fitzgerald Marine Reserve,9,1.86,04-14-2015
Fitzgerald Marine Reserve,1.08,0.83,04-24-2015
Fitzgerald Marine Reserve,4.41,3.09,05-11-2015
Fitzgerald Marine Reserve,2.67,0.67,05-12-2015
Fitzgerald Marine Reserve,2.76,1.76,05-20-2015
Fitzgerald Marine Reserve,0.8,0.4,01-20-2016
Fitzgerald Marine Reserve,0.18,0.64,03-15-2016
Fitzgerald Marine Reserve,1.62,0.7,04-14-2016
Fitzgerald Marine Reserve,0,0,04-14-2016
Fitzgerald Marine Reserve,3.9,0.4,04-28-2016
Fitzgerald Marine Reserve,NA,1.25,11-15-2016
Fitzgerald Marine Reserve,NA,1.14,02-06-2017
Fitzgerald Marine Reserve,NA,2.5,03-07-2017
Fitzgerald Marine Reserve,NA,0.8,03-09-2017
Fitzgerald Marine Reserve,NA,8,03-09-2017
Fitzgerald Marine Reserve,NA,1.5,05-02-2017
Fitzgerald Marine Reserve,NA,0.63,05-15-2017
Fitzgerald Marine Reserve,NA,0.33,11-16-2017
Fitzgerald Marine Reserve,NA,1.5,03-26-2018
Fitzgerald Marine Reserve,NA,1.69,03-27-2018
Fitzgerald Marine Reserve,NA,1.18,05-03-2018
Fitzgerald Marine Reserve,NA,0,05-03-2018
Fitzgerald Marine Reserve,NA,2.88,03-02-2019
Fitzgerald Marine Reserve,NA,0,04-11-2019
Fitzgerald Marine Reserve,NA,0.5,04-12-2019
Fitzgerald Marine Reserve,NA,0.5,04-12-2019
Fitzgerald Marine Reserve,NA,0.25,10-16-2020
Fitzgerald Marine Reserve,NA,0,10-30-2020
Fitzgerald Marine Reserve,NA,1.35,03-24-2022
Fitzgerald Marine Reserve,NA,4.1,03-25-2022
Fitzgerald Marine Reserve,NA,1,04-24-2023
Fitzgerald Marine Reserve,NA,11.4,04-25-2023
Fitzgerald Marine Reserve,NA,4,02-08-2024
Fitzgerald Marine Reserve,NA,0,03-04-2024
Fitzgerald Marine Reserve,NA,1.5,03-05-2024
Fitzgerald Marine Reserve,NA,0.42,03-15-2024
Fitzgerald Marine Reserve,NA,1.14,03-18-2024
Natural Bridges,2.86,5.73,04-20-1973
Natural Bridges,19.5,20.09,04-20-1973
Natural Bridges,6.75,5,04-09-1974
Natural Bridges,21.73,18.73,04-09-1974
Natural Bridges,9.71,7.14,04-10-1974
Natural Bridges,8.25,9.54,04-15-1975
Natural Bridges,22.04,20.54,04-15-1975
Natural Bridges,19,20,05-01-1976
Natural Bridges,8,8,05-01-1976
Natural Bridges,19,19,11-01-1978
Natural Bridges,13,8,11-01-1978
Natural Bridges,14,11,05-01-1980
Natural Bridges,15,10,05-01-1980
Natural Bridges,3,4,05-01-1983
Natural Bridges,8,9,05-01-1983
Natural Bridges,20,16,05-01-1986
Natural Bridges,16,4,05-01-1990
Natural Bridges,18,15,05-01-1990
Natural Bridges,14.94,8.5,05-10-1993
Natural Bridges,14,13,05-10-1993
Natural Bridges,14,9,05-01-1996
Natural Bridges,22,15,05-01-1996
Natural Bridges,15.31,8.5,05-07-1997
Natural Bridges,18,17,05-07-1997
Natural Bridges,20.83,15,05-01-2000
Natural Bridges,14.6,21,05-01-2000
Natural Bridges,22.38,11,05-01-2001
Natural Bridges,20.33,22,05-01-2001
Natural Bridges,16,21.33,05-29-2006
Natural Bridges,12,11.6,12-02-2009
Natural Bridges,10.67,18.63,12-02-2009
Natural Bridges,17.8,15.29,01-01-2010
Natural Bridges,16.2,9,01-01-2010
Natural Bridges,13.33,20.5,02-26-2011
Natural Bridges,24.5,10.5,03-02-2012
Natural Bridges,7.8,16.47,02-08-2013
Natural Bridges,8,12.2,03-08-2013
Natural Bridges,16,9.25,03-08-2013
Natural Bridges,25,23.14,08-06-2013
Natural Bridges,9,12.6,04-22-2014
Natural Bridges,11,6.75,05-20-2014
Natural Bridges,0,20.33,05-21-2014
Natural Bridges,17.82,25,06-01-2014
Natural Bridges,3.57,11,06-01-2014
Natural Bridges,4.33,16,12-04-2014
Natural Bridges,13.7,0,12-04-2014
Natural Bridges,11.9,17.09,02-27-2015
Natural Bridges,14.24,10.86,03-16-2015
Natural Bridges,9.71,4.67,03-24-2015
Natural Bridges,19.5,16.2,03-24-2015
Natural Bridges,16.25,9.86,04-10-2015
Natural Bridges,22.5,18.14,04-10-2015
Natural Bridges,12,11.43,04-24-2015
Natural Bridges,4,8.25,04-24-2015
Natural Bridges,11.21,14.25,05-09-2015
Natural Bridges,12.37,23,05-09-2015
Natural Bridges,17.67,12.8,01-20-2016
Natural Bridges,13,10,02-18-2016
Natural Bridges,NA,9.43,02-19-2016
Natural Bridges,NA,12.95,04-01-2016
Natural Bridges,NA,16.67,04-16-2016
Natural Bridges,NA,15.5,04-16-2016
Natural Bridges,NA,12.38,02-06-2017
Natural Bridges,NA,12.67,03-12-2017
Natural Bridges,NA,22.75,03-12-2017
Natural Bridges,NA,12.21,03-24-2017
Natural Bridges,NA,22,03-24-2017
Natural Bridges,NA,9.5,04-14-2017
Natural Bridges,NA,10,05-05-2017
Natural Bridges,NA,12.53,03-12-2018
Natural Bridges,NA,12.08,03-26-2018
Natural Bridges,NA,10.5,03-26-2018
Natural Bridges,NA,14.47,03-27-2018
Natural Bridges,NA,16.43,03-27-2018
Natural Bridges,NA,8.29,04-23-2018
Natural Bridges,NA,10.4,04-24-2018
Natural Bridges,NA,13,05-05-2018
Natural Bridges,NA,14.5,05-22-2018
Natural Bridges,NA,6.93,03-25-2019
Natural Bridges,NA,14.06,03-26-2019
Natural Bridges,NA,11.9,04-14-2023
Pigeon Point,1.56,0,05-04-2006
Pigeon Point,5.8,0,11-16-2006
Pigeon Point,8.38,0,01-29-2007
Pigeon Point,7.55,0,03-25-2007
Pigeon Point,2.1,0.05,05-24-2007
Pigeon Point,7.75,0.67,07-04-2007
Pigeon Point,9.81,0.88,01-22-2008
Pigeon Point,12.43,0.14,03-13-2008
Pigeon Point,5.67,0.06,01-22-2009
Pigeon Point,0,0,03-06-2009
Pigeon Point,12,0.07,01-28-2010
Pigeon Point,4.76,0.18,02-24-2010
Pigeon Point,6,0,03-25-2010
Pigeon Point,0.58,0,05-21-2010
Pigeon Point,2.38,0,02-28-2011
Pigeon Point,4.65,0.08,03-01-2011
Pigeon Point,6.94,0.06,03-02-2011
Pigeon Point,3.5,1.3,05-11-2011
Pigeon Point,2.64,0,05-21-2011
Pigeon Point,0,0.2,03-15-2012
Pigeon Point,1.14,0.07,05-12-2012
Pigeon Point,0,0.14,04-04-2013
Pigeon Point,1.92,0.25,02-25-2014
Pigeon Point,0,0.38,05-21-2014
Pigeon Point,0.83,0.33,06-02-2014
Pigeon Point,5.2,0,12-02-2014
Pigeon Point,1.61,0.22,02-17-2015
Pigeon Point,4.43,0,03-16-2015
Pigeon Point,7.5,0.08,03-25-2015
Pigeon Point,2.85,0.23,04-15-2015
Pigeon Point,12.3,0,01-21-2016
Pigeon Point,5.19,0.16,03-16-2016
Pigeon Point,5.1,0.34,04-11-2016
Pigeon Point,0.95,0.1,05-25-2016
Pigeon Point,1.95,0.62,05-26-2016
Pigeon Point,NA,3.5,11-14-2016
Pigeon Point,NA,2.14,05-01-2017
Pigeon Point,NA,0.36,05-30-2017
Pigeon Point,NA,3.78,05-31-2017
Pigeon Point,NA,1.12,01-29-2018
Pigeon Point,NA,0.53,04-20-2018
Pigeon Point,NA,0.75,05-21-2018
Pigeon Point,NA,0.13,05-22-2018
Pigeon Point,NA,0.63,03-01-2019
Pigeon Point,NA,0.17,05-24-2019
Pigeon Point,NA,0,06-25-2020
Pigeon Point,NA,0,11-12-2023
Pillar Point,20.43,18.57,08-11-2010
Pillar Point,24.13,22.88,08-13-2010
Pillar Point,13.88,17.39,11-04-2010
Pillar Point,21.25,22,01-15-2011
Pillar Point,17,13.75,01-28-2011
Pillar Point,24,22.31,01-28-2011
Pillar Point,21.06,18.29,05-23-2011
Pillar Point,13.83,15.83,10-26-2011
Pillar Point,18,19.67,11-09-2011
Pillar Point,18.17,18.17,01-19-2012
Pillar Point,9.13,9.25,10-15-2012
Pillar Point,5.8,6.4,12-10-2012
Pillar Point,10.14,18.29,12-11-2012
Pillar Point,12,22.5,12-12-2012
Pillar Point,11.88,16.38,04-03-2013
Pillar Point,15.31,19.06,11-04-2013
Pillar Point,5,8.5,12-03-2013
Pillar Point,15.2,20.5,11-04-2014
Pillar Point,14.56,18.33,03-17-2015
Pillar Point,14.3,15.6,04-23-2015
Pillar Point,22.27,23,02-05-2016
Pillar Point,21.69,21.46,05-11-2016
Pillar Point,NA,9.2,11-28-2016
Pillar Point,NA,15.5,04-28-2017
Pillar Point,NA,19.2,04-19-2018
Pillar Point,NA,18,05-18-2018
Pillar Point,NA,25,03-16-2019
Pillar Point,NA,20.91,05-10-2019
Pillar Point,NA,20.5,02-06-2020
Pillar Point,NA,24,04-07-2021
Pillar Point,NA,15.13,03-23-2022
Pillar Point,NA,22.65,03-24-2022
Pillar Point,NA,5.58,02-03-2023
Pillar Point,NA,18.69,03-15-2023
Pillar Point,NA,25,03-27-2023
Pillar Point,NA,18.76,04-01-2024
Pillar Point,NA,20.67,04-02-2024
Point Pinos,4.17,10.61,2011-04-24
Point Pinos,10.6,18.5,2011-05-10
Point Pinos,5,14.7,2011-05-11
Point Pinos,16,18,2012-01-21
Point Pinos,7.75,16.5,2012-03-07
Point Pinos,12.92,12,2012-03-09
Point Pinos,7.91,9.91,2012-04-11
Point Pinos,2.83,11.25,2012-05-10
Point Pinos,10.54,11.77,2012-06-06
Point Pinos,10.67,16.17,2012-12-11
Point Pinos,9.38,11.85,2013-02-09
Point Pinos,4.18,12.82,2013-03-07
Point Pinos,1.33,6.17,2013-11-19
Point Pinos,15.67,18.67,2014-01-11
Point Pinos,8.5,17.25,2014-01-28
Point Pinos,9.71,12.71,2014-02-25
Point Pinos,2.6,12.7,2014-04-22
Point Pinos,5.5,12.17,2014-04-24
Point Pinos,7,12.73,2014-05-19
Point Pinos,10,11.7,2014-07-16
Point Pinos,13.27,12.91,2015-02-16
Point Pinos,9.8,13.8,2015-03-29
Point Pinos,NA,14.14,2015-07-20
Point Pinos,NA,16.91,2015-10-25
Point Pinos,NA,21.8,2016-02-06
Point Pinos,NA,10.83,2016-03-19
Point Pinos,NA,12.09,2016-07-04
Point Pinos,NA,16.46,2017-06-26
Point Pinos,NA,18.25,2018-01-30
Point Pinos,NA,12.25,2018-01-31
Point Pinos,NA,17.08,2018-03-25
Point Pinos,NA,13.08,2018-07-04
Point Pinos,NA,18.14,2018-11-06
Point Pinos,NA,14.29,2019-01-31
Point Pinos,NA,17.38,2019-03-29
Point Pinos,NA,16.64,2019-04-02
Point Pinos,NA,15,2020-03-10
San Simeon,13.6,1.2,2012-03-17
San Simeon,22.75,6.75,2013-02-25
San Simeon,5.33,1.33,2013-12-02
San Simeon,6.36,1.68,2013-12-14
San Simeon,5,2.83,2014-03-24
San Simeon,6.82,3.18,2014-07-15
San Simeon,6.42,3.33,2014-11-22
San Simeon,4,4.42,2014-12-04
San Simeon,6.92,3.83,2015-02-18
San Simeon,3.92,4.5,2015-08-04
San Simeon,5.27,6.64,2015-10-26
San Simeon,NA,5.5,2016-04-28
San Simeon,NA,3.92,2016-07-22
San Simeon,NA,7.12,2016-11-12
San Simeon,NA,11,2017-03-26
San Simeon,NA,9.67,2017-06-28
San Simeon,NA,10.27,2017-11-04
San Simeon,NA,9.92,2017-12-18
San Simeon,NA,10.42,2018-03-27
San Simeon,NA,8.75,2018-08-15
San Simeon,NA,12.65,2018-10-23
San Simeon,NA,10.5,2019-04-24
San Simeon,NA,11.92,2019-07-08
San Simeon,NA,11.92,2019-09-29
Wilder Ranch,8.2,13.4,2011-10-26
Wilder Ranch,14.7,13.85,2012-06-08
Wilder Ranch,14.6,13.2,2013-12-30
Wilder Ranch,16.33,16.89,2014-01-28
Wilder Ranch,17.43,20.67,2014-04-21
Wilder Ranch,9.6,12.8,2014-07-16
Wilder Ranch,15.88,14.88,2015-03-17
Wilder Ranch,12.67,10.39,2015-06-06
